source_fft_file,label,status,n_bins,freq_min,freq_max,warnings,source_window_file
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_018_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_018.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_019_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_019.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_020_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_020.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_021_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_021.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_022_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_022.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_023_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_023.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_024_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_024.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_025_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_025.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_026_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_026.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_027_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_027.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_028_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_028.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_029_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_029.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_030_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_030.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_031_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_031.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_032_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_032.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_033_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_033.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_034_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_034.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_035_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_035.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_036_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_036.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_037_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_037.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_038_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_038.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_039_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_039.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_040_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_040.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_041_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_041.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_042_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_042.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_043_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_043.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_044_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_044.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_045_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_045.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_046_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_046.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_047_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_047.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_048_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_048.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_049_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_049.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_050_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_050.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_051_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_051.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_052_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_052.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_053_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_053.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_054_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_054.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_055_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_055.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_056_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_056.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_057_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_057.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_058_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_058.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_059_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_059.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_060_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_060.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_061_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_061.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_062_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_062.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_063_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_063.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_064_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_064.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_065_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_065.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_066_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_066.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_067_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_067.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_068_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_068.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_069_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_069.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_070_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_070.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_071_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_071.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_072_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_072.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_073_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_073.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_074_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_074.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_075_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_075.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_076_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_076.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_077_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_077.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_078_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_078.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_079_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_079.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_080_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_080.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_081_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_081.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_082_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_082.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_083_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_083.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_084_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_084.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_085_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_085.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_086_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_086.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_087_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_087.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_088_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_088.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_089_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_089.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_090_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_090.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_091_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_091.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_092_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_092.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_093_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_093.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_094_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_094.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_095_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_095.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_096_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_096.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_097_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_097.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_098_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_098.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_099_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_099.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_100_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_100.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_101_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_101.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_102_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_102.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_103_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_103.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_104_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_104.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_105_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_105.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_106_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_106.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_107_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_107.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_108_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_108.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_109_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_109.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_110_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_110.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_111_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_111.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_112_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_112.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_113_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_113.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_114_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_114.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_115_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_115.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_116_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_116.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_117_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_117.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_118_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_118.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_119_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_119.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_120_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_120.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_121_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_121.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_122_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_122.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_123_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_123.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_124_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_124.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_125_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_125.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_126_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_126.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_127_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_127.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_128_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_128.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_129_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_129.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_130_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_130.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_131_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_131.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_132_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_132.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_133_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_133.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_134_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_134.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_135_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_135.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_136_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_136.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_137_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_137.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_138_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_138.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_139_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_139.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_140_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_140.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_141_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_141.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_142_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_142.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_143_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_143.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_144_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_144.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_145_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_145.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_146_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_146.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_147_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_147.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_148_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_148.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_149_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_149.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_150_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_150.csv
