source_file,label,segment_id,start_time_ms,end_time_ms,num_samples,duration_sec,status,reason
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_007.csv,obstruction,0,0.0457665423359919,30007.07493045209,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_008.csv,obstruction,0,0.0335459634361184,29994.57381581629,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_009.csv,obstruction,0,-0.0459224334291077,29994.83108643344,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_010.csv,obstruction,0,-0.0103798153272485,29996.77413172264,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_011.csv,obstruction,0,0.0432628454001154,29999.152111996107,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_012.csv,obstruction,0,0.0795338605289668,29987.025937803646,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_013.csv,obstruction,0,0.0299193210438921,29995.62841448947,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_014.csv,obstruction,0,-0.0230740512508853,29996.93210848396,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_015.csv,obstruction,0,-0.0225094606891509,30001.76877151529,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_016.csv,obstruction,0,-0.0566010881302781,29996.837003948523,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_017.csv,obstruction,0,0.0367211256627061,29996.46527297372,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_018.csv,obstruction,0,-0.0336858292765912,29999.045692629803,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_019.csv,obstruction,0,-0.0998640106399386,29996.09269221748,6000,30.0,KEPT,valid
