global_window_id,source_segment,output_file,label,local_window_id,start_idx,end_idx_exclusive,end_idx_inclusive,num_samples,start_time_ms,end_time_ms,sampling_rate_hz,window_size,window_duration_sec,overlap_ratio,step_size,step_duration_sec,status,reason
10,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_010.csv,healthy,10,3200,3712,3711,512,6490.062,7512.062,500,512,1.024,0.5,320,0.64,KEPT,valid
11,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_011.csv,healthy,11,3520,4032,4031,512,7130.062,8152.063,500,512,1.024,0.5,320,0.64,KEPT,valid
12,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_012.csv,healthy,12,3840,4352,4351,512,7770.062,8792.063,500,512,1.024,0.5,320,0.64,KEPT,valid
13,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_013.csv,healthy,13,4160,4672,4671,512,8410.062,9432.062,500,512,1.024,0.5,320,0.64,KEPT,valid
14,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_014.csv,healthy,14,4480,4992,4991,512,9050.062,10072.062,500,512,1.024,0.5,320,0.64,KEPT,valid
15,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_015.csv,healthy,15,4800,5312,5311,512,9690.063,10712.063,500,512,1.024,0.5,320,0.64,KEPT,valid
16,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_016.csv,healthy,16,5120,5632,5631,512,10330.062,11352.063,500,512,1.024,0.5,320,0.64,KEPT,valid
17,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_017.csv,healthy,17,5440,5952,5951,512,10970.062,11992.062,500,512,1.024,0.5,320,0.64,KEPT,valid
18,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_018.csv,healthy,18,5760,6272,6271,512,11610.063,12632.063,500,512,1.024,0.5,320,0.64,KEPT,valid
19,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_019.csv,healthy,19,6080,6592,6591,512,12250.062,13272.063,500,512,1.024,0.5,320,0.64,KEPT,valid
20,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_020.csv,healthy,20,6400,6912,6911,512,12890.062,13912.063,500,512,1.024,0.5,320,0.64,KEPT,valid
21,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_021.csv,healthy,21,6720,7232,7231,512,13530.062,14552.062,500,512,1.024,0.5,320,0.64,KEPT,valid
22,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_022.csv,healthy,22,7040,7552,7551,512,14170.062,15192.062,500,512,1.024,0.5,320,0.64,KEPT,valid
23,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_023.csv,healthy,23,7360,7872,7871,512,14810.062,15832.062,500,512,1.024,0.5,320,0.64,KEPT,valid
24,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_024.csv,healthy,24,7680,8192,8191,512,15450.063,16472.062,500,512,1.024,0.5,320,0.64,KEPT,valid
25,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_025.csv,healthy,25,8000,8512,8511,512,16090.062,17112.062,500,512,1.024,0.5,320,0.64,KEPT,valid
26,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_026.csv,healthy,26,8320,8832,8831,512,16730.062,17752.062,500,512,1.024,0.5,320,0.64,KEPT,valid
27,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_027.csv,healthy,27,8640,9152,9151,512,17370.062,18392.063,500,512,1.024,0.5,320,0.64,KEPT,valid
28,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_028.csv,healthy,28,8960,9472,9471,512,18010.062,19032.062,500,512,1.024,0.5,320,0.64,KEPT,valid
29,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_029.csv,healthy,29,9280,9792,9791,512,18650.062,19672.062,500,512,1.024,0.5,320,0.64,KEPT,valid
30,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_030.csv,healthy,30,9600,10112,10111,512,19290.063,20312.062,500,512,1.024,0.5,320,0.64,KEPT,valid
31,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_031.csv,healthy,31,9920,10432,10431,512,19930.062,20952.062,500,512,1.024,0.5,320,0.64,KEPT,valid
32,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_032.csv,healthy,32,10240,10752,10751,512,20570.062,21592.063,500,512,1.024,0.5,320,0.64,KEPT,valid
33,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_033.csv,healthy,33,10560,11072,11071,512,21210.062,22232.062,500,512,1.024,0.5,320,0.64,KEPT,valid
34,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_034.csv,healthy,34,10880,11392,11391,512,21850.062,22872.062,500,512,1.024,0.5,320,0.64,KEPT,valid
35,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_035.csv,healthy,35,11200,11712,11711,512,22490.062,23512.063,500,512,1.024,0.5,320,0.64,KEPT,valid
36,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_036.csv,healthy,36,11520,12032,12031,512,23130.063,24152.062,500,512,1.024,0.5,320,0.64,KEPT,valid
37,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_037.csv,healthy,37,11840,12352,12351,512,23770.062,24792.062,500,512,1.024,0.5,320,0.64,KEPT,valid
38,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_038.csv,healthy,38,12160,12672,12671,512,24410.062,25432.063,500,512,1.024,0.5,320,0.64,KEPT,valid
39,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_039.csv,healthy,39,12480,12992,12991,512,25050.063,26072.062,500,512,1.024,0.5,320,0.64,KEPT,valid
40,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_040.csv,healthy,40,12800,13312,13311,512,25690.063,26712.062,500,512,1.024,0.5,320,0.64,KEPT,valid
41,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_041.csv,healthy,41,13120,13632,13631,512,26330.062,27352.062,500,512,1.024,0.5,320,0.64,KEPT,valid
42,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_042.csv,healthy,42,13440,13952,13951,512,26970.062,27992.062,500,512,1.024,0.5,320,0.64,KEPT,valid
43,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_043.csv,healthy,43,13760,14272,14271,512,27610.063,28632.062,500,512,1.024,0.5,320,0.64,KEPT,valid
44,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_044.csv,healthy,44,14080,14592,14591,512,28250.062,29272.062,500,512,1.024,0.5,320,0.64,KEPT,valid
45,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_045.csv,healthy,45,14400,14912,14911,512,28890.062,29912.062,500,512,1.024,0.5,320,0.64,KEPT,valid
46,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_046.csv,healthy,46,14720,15232,15231,512,29530.062,30552.063,500,512,1.024,0.5,320,0.64,KEPT,valid
47,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_047.csv,healthy,47,15040,15552,15551,512,30170.062,31192.063,500,512,1.024,0.5,320,0.64,KEPT,valid
48,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_048.csv,healthy,48,15360,15872,15871,512,30810.063,31832.062,500,512,1.024,0.5,320,0.64,KEPT,valid
49,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_049.csv,healthy,49,15680,16192,16191,512,31450.062,32472.062,500,512,1.024,0.5,320,0.64,KEPT,valid
50,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_050.csv,healthy,50,16000,16512,16511,512,32090.062,33112.062,500,512,1.024,0.5,320,0.64,KEPT,valid
51,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_051.csv,healthy,51,16320,16832,16831,512,32730.062,33752.062,500,512,1.024,0.5,320,0.64,KEPT,valid
52,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_052.csv,healthy,52,16640,17152,17151,512,33370.063,34392.062,500,512,1.024,0.5,320,0.64,KEPT,valid
53,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_053.csv,healthy,53,16960,17472,17471,512,34010.062,35032.062,500,512,1.024,0.5,320,0.64,KEPT,valid
54,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_054.csv,healthy,54,17280,17792,17791,512,34650.062,35672.062,500,512,1.024,0.5,320,0.64,KEPT,valid
55,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_055.csv,healthy,55,17600,18112,18111,512,35290.062,36312.062,500,512,1.024,0.5,320,0.64,KEPT,valid
56,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_056.csv,healthy,56,17920,18432,18431,512,35930.063,36952.062,500,512,1.024,0.5,320,0.64,KEPT,valid
57,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_057.csv,healthy,57,18240,18752,18751,512,36570.062,37592.062,500,512,1.024,0.5,320,0.64,KEPT,valid
58,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_058.csv,healthy,58,18560,19072,19071,512,37210.062,38232.062,500,512,1.024,0.5,320,0.64,KEPT,valid
59,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_059.csv,healthy,59,18880,19392,19391,512,37850.062,38872.062,500,512,1.024,0.5,320,0.64,KEPT,valid
60,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_060.csv,healthy,60,19200,19712,19711,512,38490.062,39512.063,500,512,1.024,0.5,320,0.64,KEPT,valid
61,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_061.csv,healthy,61,19520,20032,20031,512,39130.062,40152.062,500,512,1.024,0.5,320,0.64,KEPT,valid
62,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_062.csv,healthy,62,19840,20352,20351,512,39770.062,40792.062,500,512,1.024,0.5,320,0.64,KEPT,valid
63,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_063.csv,healthy,63,20160,20672,20671,512,40410.062,41432.062,500,512,1.024,0.5,320,0.64,KEPT,valid
64,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_064.csv,healthy,64,20480,20992,20991,512,41050.062,42072.062,500,512,1.024,0.5,320,0.64,KEPT,valid
65,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_065.csv,healthy,65,20800,21312,21311,512,41690.062,42712.062,500,512,1.024,0.5,320,0.64,KEPT,valid
66,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_066.csv,healthy,66,21120,21632,21631,512,42330.062,43352.062,500,512,1.024,0.5,320,0.64,KEPT,valid
67,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_067.csv,healthy,67,21440,21952,21951,512,42970.062,43992.062,500,512,1.024,0.5,320,0.64,KEPT,valid
68,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_068.csv,healthy,68,21760,22272,22271,512,43610.062,44632.062,500,512,1.024,0.5,320,0.64,KEPT,valid
69,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_069.csv,healthy,69,22080,22592,22591,512,44250.062,45272.062,500,512,1.024,0.5,320,0.64,KEPT,valid
70,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_070.csv,healthy,70,22400,22912,22911,512,44890.062,45912.062,500,512,1.024,0.5,320,0.64,KEPT,valid
71,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_071.csv,healthy,71,22720,23232,23231,512,45530.062,46552.062,500,512,1.024,0.5,320,0.64,KEPT,valid
72,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_072.csv,healthy,72,23040,23552,23551,512,46170.062,47192.062,500,512,1.024,0.5,320,0.64,KEPT,valid
73,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_073.csv,healthy,73,23360,23872,23871,512,46810.062,47832.062,500,512,1.024,0.5,320,0.64,KEPT,valid
74,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_074.csv,healthy,74,23680,24192,24191,512,47450.063,48472.062,500,512,1.024,0.5,320,0.64,KEPT,valid
75,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_075.csv,healthy,75,24000,24512,24511,512,48090.062,49112.063,500,512,1.024,0.5,320,0.64,KEPT,valid
76,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_076.csv,healthy,76,24320,24832,24831,512,48730.062,49752.062,500,512,1.024,0.5,320,0.64,KEPT,valid
77,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_077.csv,healthy,77,24640,25152,25151,512,49370.062,50392.062,500,512,1.024,0.5,320,0.64,KEPT,valid
78,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_078.csv,healthy,78,24960,25472,25471,512,50010.062,51032.062,500,512,1.024,0.5,320,0.64,KEPT,valid
79,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_079.csv,healthy,79,25280,25792,25791,512,50650.062,51672.062,500,512,1.024,0.5,320,0.64,KEPT,valid
